Sujeto	Accuracy	F1_Macro	F1_Clase	anotaciones_predic	candidato_revision
sub-00001	0.25	0.1395681695111528	[0.00598802 0.10204082 0.47216495 0.11764706 0.        ]		
sub-00002	0.04448563484708063	0.04061671087533157	[0.         0.00480769 0.19827586 0.         0.        ]		
sub-00003	0.14013346043851288	0.09714984641162216	[0.00600601 0.11342155 0.23261694 0.13370474 0.        ]		
sub-00004	0.23763736263736263	0.18384770770680006	[0.00729927 0.06349206 0.39130435 0.45714286 0.        ]		
sub-00005	0.21125461254612546	0.08895915732799826	[0.0057971  0.0411985  0.39780018 0.         0.        ]		
sub-00006	0.22047970479704798	0.10316640626822353	[0.00643087 0.07042254 0.41650672 0.02247191 0.        ]		
sub-00007	0.13492927094668117	0.07385563832519908	[0.00784314 0.03202329 0.32941176 0.         0.        ]		
sub-00008	0.44004171011470283	0.28794599471044435	[0.00692042 0.04026846 0.60332542 0.78921569 0.        ]		
sub-00009	0.21639042357274402	0.14599549454093128	[0.00520833 0.09278351 0.45807259 0.17391304 0.        ]		
sub-00010	0.3837638376383764	0.19664501421011976	[0.00793651 0.02304147 0.68694097 0.26530612 0.        ]		
sub-00011	0.23821339950372208	0.14742378540425127	[0.00809717 0.06153846 0.34301521 0.32446809 0.        ]		
sub-00012	0.2966804979253112	0.16862832422240456	[0.00584795 0.19002375 0.54060325 0.10666667 0.        ]		
sub-00013	0.17863720073664824	0.11022527383586207	[0.00327869 0.05538462 0.47411444 0.01834862 0.        ]		
sub-00014	0.04143646408839779	0.024469605922964825	[0.00568182 0.03962461 0.0770416  0.         0.        ]		
sub-00015	0.18873826903023982	0.10606319177317522	[0.00436681 0.0815047  0.44444444 0.         0.        ]		
