Sujeto	Accuracy	F1_Macro	F1_Clase	anotaciones_predic	candidato_revision
sub-001	0.10754716981132076	0.16467979726061652	[0.001001   0.06917756 0.1692411  0.58397933 0.        ]		
sub-002	0.1674911660777385	0.19303078975350835	[0.00105988 0.07940905 0.24618736 0.63849765 0.        ]		
sub-003	0.1284796573875803	0.08833814870126788	[0.00107701 0.16682464 0.23487859 0.03891051 0.        ]		
sub-004	0.1519298245614035	0.10016194345080912	[0.00109469 0.13075506 0.29919252 0.06976744 0.        ]		
sub-005	0.16619115549215407	0.1955603042519464	[0.00104822 0.06880466 0.44418052 0.46376812 0.        ]		
sub-006	0.15203193033381712	0.13985504045102498	[0.00106781 0.20137694 0.26575476 0.2310757  0.        ]		
sub-007	0.17304964539007092	0.20055346394148904	[0.00099552 0.04794521 0.45898123 0.49484536 0.        ]		
sub-008	0.1628843338213763	0.19257205411757575	[0.00102145 0.06688963 0.32087511 0.57407407 0.        ]		
sub-009	0.2424124513618677	0.15512518476502662	[0.00130208 0.24079066 0.45398773 0.07954545 0.        ]		
sub-010	0.17550143266475646	0.1181775058779591	[0.00112486 0.21686747 0.34527089 0.02762431 0.        ]		
sub-011	0.08743570903747244	0.08216593435265052	[0.00088535 0.11551155 0.24027778 0.054155   0.        ]		
sub-012	0.22309337134711332	0.15748064709495613	[0.0011217  0.1947644  0.48609078 0.10542636 0.        ]		
sub-013	0.15740072202166064	0.1386450825515775	[0.00096618 0.15955473 0.2984127  0.2342918  0.        ]		
sub-014	0.1745583038869258	0.25455294778091136	[0.00099602 0.09169765 0.40274314 0.77732794 0.        ]		
sub-015	0.16903914590747332	0.2070104349360821	[0.00102093 0.06767795 0.47320261 0.49315068 0.        ]		
